YEAR_MONTH,EAF,PCLF,UCLF,OCLF
202404,58.100000000000001,11.4,30,0.5
202405,63,9.6999999999999993,26.800000000000001,0.5
202406,62.700000000000003,11.800000000000001,24.699999999999999,0.80000000000000004
202407,67.400000000000006,8.4000000000000004,23.699999999999999,0.5
202408,66.200000000000003,10.5,22.899999999999999,0.40000000000000002
202409,61.100000000000001,13.5,25,0.40000000000000002
202410,62.299999999999997,12.9,24.399999999999999,0.40000000000000002
202411,62,15.1,22.199999999999999,0.69999999999999996
202412,56.5,17.600000000000001,25.5,0.40000000000000002
202501,56.5,14,28.800000000000001,0.69999999999999996
202502,57,15,26.800000000000001,1.2
202503,57.100000000000001,12.300000000000001,30,0.59999999999999998
202504,56,14.800000000000001,28.699999999999999,0.5
202505,59,11.5,29,0.5
202506,60.299999999999997,8.0999999999999996,31.100000000000001,0.5
202507,63.799999999999997,9.9000000000000004,25.899999999999999,0.40000000000000002
202508,66.200000000000003,12.1,21.300000000000001,0.40000000000000002
202509,70.200000000000003,10.9,18.300000000000001,0.59999999999999998
202510,65.700000000000003,12.1,21.899999999999999,0.29999999999999999
202511,68.200000000000003,12.4,19.100000000000001,0.29999999999999999
202512,68.900000000000006,10.9,19.899999999999999,0.29999999999999999
202601,71,11.4,17.199999999999999,0.40000000000000002
202602,68.599999999999994,10.199999999999999,20.899999999999999,0.29999999999999999
202603,,,,
